7389,0,0
2001222559,3,3804
4001533330,1,7744
6001917997,0,11700
8002006672,1,15632
10002135989,0,19580
12002321138,0,20000
14002373275,0,20000
16003026429,0,20000
18003654951,0,20000
20004087649,0,20000
22004212040,0,20000
24004708371,0,20000
26005554885,0,20000
28006488020,0,20000
30006802486,0,20000
1232,0,0
1999792683,0,3920
4000080464,0,7860
6000920820,0,11780
8001019347,0,15720
10001145790,1,19644
12002059220,0,20000
14002339202,0,20000
16003317906,0,20000
18003361833,0,20000
20003421360,0,20000
22004205472,0,20000
24025110905,0,20000
26026046093,0,20000
28026704173,0,20000
30027610213,0,20000
1642,0,0
2000208960,0,3920
4000966799,0,7860
6001675374,0,11800
8002459076,0,15739
10002538309,0,19660
12003227179,0,20000
14003583929,0,20000
16004416074,0,20000
18005171860,0,20000
20005180482,0,20000
22005674350,0,20000
24005683381,0,20000
26006095554,0,20000
28007023352,0,20000
30007497104,0,20000
1232,0,0
2000126854,2,3907
4000304203,0,7860
6001045621,0,11820
8001343666,0,15740
10002073178,0,19700
12002412687,0,20000
14003314211,0,20000
16003829837,0,20000
18004672656,0,20000
20004893521,0,20000
22005913278,0,20000
24006297124,0,20000
26006629243,0,20000
28007302102,0,20000
30007871508,0,20000
821,0,0
1999885873,0,3900
4000431467,0,7840
6001162622,0,11760
8001201622,0,15680
10002033357,0,19600
12002551856,0,20000
14003496486,0,20000
16004127471,0,20000
18004471906,0,20000
20004687845,0,20000
22004729309,0,20000
24005810646,0,20000
26006616927,0,20000
28007042236,0,20000
30007469188,0,20000
7800,0,0
2018996056,1,3609
4019001393,0,7480
6019732958,0,11420
8019964908,0,15300
10020350396,0,19201
12020400481,0,20000
14020414849,0,20000
16020493671,0,20000
18021009297,0,20000
20021646850,0,20000
22021677230,0,20000
24021951053,0,20000
26022905947,0,20000
28022913336,0,20000
30023554174,0,20000
1232,0,0
1999478216,1,3812
3999475753,0,7720
5999515574,0,11620
8000030379,0,15520
10000051316,0,19440
12000900293,0,20000
14001564941,0,20000
16001752143,0,20000
18002503003,0,20000
20002583467,0,20000
22003467749,0,20000
24003507571,0,20000
26004510086,0,20000
28005358241,0,20000
30005375894,0,20000
821,0,0
2000822703,0,3880
4001764459,1,7784
6002085905,0,11700
8002175811,0,15580
10002741111,1,19498
12002852365,0,20000
14002869196,0,20000
16003658235,0,20000
18003753479,0,20000
20003952175,0,20000
22003982965,0,20000
24004358190,0,20000
26004385285,0,20000
28004431264,0,20000
30004418538,0,20000
821,0,0
2000238518,1,3900
4000569816,0,7900
6000920409,0,11900
8001232823,1,15891
10001585879,196,15961
12002403244,0,20000
14002245601,0,20000
16002572383,0,20000
18012916924,0,20000
20013244528,0,20000
22013600457,0,20000
24013914102,0,20000
26014247453,0,20000
28014584088,0,20000
30014939197,0,20000
1232,0,0
1999723303,0,3960
4000059117,1,7950
6000388773,1,11950
8000721713,2,15945
10001059990,1,19940
12001399087,0,20000
14001736133,0,20000
16002086726,0,20000
18002398729,0,20000
20002756711,0,20000
22003072409,0,20000
24003409044,0,20000
26003741163,0,20000
28004073282,0,20000
30004413611,0,20000
821,0,0
2000295993,0,3980
4000629343,0,7980
6000964746,0,11980
8001296044,0,15980
10001638016,0,19979
12001975472,0,20000
14002305128,0,20000
16002632731,0,20000
18002971418,0,20000
20003302306,0,20000
22003638120,0,20000
24003972291,0,20000
26004310157,0,20000
